screenName,total
CptFrenzy805,5
deepakkhurana,5
TheFightSource,5
Nolamagee,5
JLozanoA,5
Herrick1Herrick,5
Aries419,5
SusanRamirezKC,5
AndrewKH85,5
wendyphd,5
kristincasas,5
GigiB84,5
mosaique813,5
YaadMekI,5
Jerry_LA1,5
Tee_Suave,5
ChardanayTommo,5
AshleyEBlom,5
RaineAnneMKE,5
WalkingAwayTall,5
calford9621,5
SplendentSweven,5
JOHNGARCIA1152,5
Morr_1980,5
fabularcierto,5
MiLLkeSmooV,5
xdelmar59,5
GamerGate4Life,5
MBC914,5
KeikoZoll,5
nargypatty,5
yungbobkennedy,5
kishkafka,5
ddtg325,5
luvmytude,5
TommmyJefferson,5
spkelly24,5
ScheyChris,5
Jamer240,5
ZapZapHS,5
DelDryden,5
sikalicious1,5
adbpyt,5
tully17,5
Gyggy,5
JasonStokley076,5
AreYouRacist1,5
mehmm2013,5
UNCMirror,5
debilu2,5
bphillips1225,5
lysamah,5
Sobrien95,5
texasfrederick,5
williamsl4,5
barbya1,5
TheNotoriousNME,5
JayScottSmith,5
NamMorgan,5
janiejoMT,5
catvoncat,5
crackedpots,5
AliyahBlaike,5
randilynn_xx,5
GuidryGrl,5
BernItUpTV,5
JulieForHer,5
frommsb,5
JaneGrader,5
rdr70024,5
moberzan,5
shortee828,5
imaginepeace5,5
Pink507Barbara,5
belynda13,5
camilos77,5
curvedcrayfish,5
knittingknots,5
GWENHUTCHENCEMN,5
EB_imconfus,5
Slicknickshady,5
thefutureyousee,5
BoldingLisa,5
winter_page,5
wanda_wandamc,5
juliettetorrez,5
MissAmandaTate,5
MyfanwyCollins,5
windflwr,5
sujiai,5
ErengwaM,5
frydguy,5
held_jana,5
NewportLost,5
muzikscribe,5
wokeaf_ghan,5
phdlady,5
JasonCh19916885,5
pecolia1,5
gryphonmom,5
drakatzen,5
PattyInHD,5
Spafloating,5
melgrissom,5
Sumenn7063,5
AvianoBrat,5
THEBOSS2ReaL,5
randajarrar,5
"_Subbydingdong_",5
mikeq36,5
TheStiletto,5
seobrian30,5
MickyBell,5
Rwc356,5
"_LilSallyWalker",5
Menendez4Texas,5
ForrestDrumpf,5
tommy_2q,5
